Trigonometric	sin	cos	tan
103	0.974370065	-0.224951054	-4.331475874
104	0.970295726	-0.241921896	-4.010780934
105	0.965925826	-0.258819045	-3.732050808
106	0.961261696	-0.275637356	-3.487414444
107	0.956304756	-0.292371705	-3.270852618
108	0.951056516	-0.309016994	-3.077683537
109	0.945518576	-0.325568154	-2.904210878
110	0.939692621	-0.342020143	-2.747477419
111	0.933580426	-0.35836795	-2.605089065
112	0.927183855	-0.374606593	-2.475086853
113	0.920504853	-0.390731128	-2.355852366
114	0.913545458	-0.406736643	-2.246036774
115	0.906307787	-0.422618262	-2.144506921
116	0.898794046	-0.438371147	-2.050303842
117	0.891006524	-0.4539905	-1.962610506
118	0.882947593	-0.469471563	-1.880726465
119	0.874619707	-0.48480962	-1.804047755
120	0.866025404	-0.5	-1.732050808
121	0.857167301	-0.515038075	-1.664279482
122	0.848048096	-0.529919264	-1.600334529
123	0.838670568	-0.544639035	-1.539864964
124	0.829037573	-0.559192903	-1.482560969
125	0.819152044	-0.573576436	-1.428148007
126	0.809016994	-0.587785252	-1.37638192
127	0.79863551	-0.601815023	-1.327044822
128	0.788010754	-0.615661475	-1.279941632
129	0.777145961	-0.629320391	-1.234897157
130	0.766044443	-0.64278761	-1.191753593
131	0.75470958	-0.656059029	-1.150368407
132	0.743144825	-0.669130606	-1.110612515
133	0.731353702	-0.68199836	-1.07236871
134	0.7193398	-0.69465837	-1.035530314
135	0.707106781	-0.707106781	-1
136	0.69465837	-0.7193398	-0.965688775
137	0.68199836	-0.731353702	-0.932515086
138	0.669130606	-0.743144825	-0.900404044
139	0.656059029	-0.75470958	-0.869286738
140	0.64278761	-0.766044443	-0.839099631
141	0.629320391	-0.777145961	-0.809784033
142	0.615661475	-0.788010754	-0.781285627
143	0.601815023	-0.79863551	-0.75355405
144	0.587785252	-0.809016994	-0.726542528
145	0.573576436	-0.819152044	-0.700207538
146	0.559192903	-0.829037573	-0.674508517
147	0.544639035	-0.838670568	-0.649407593
148	0.529919264	-0.848048096	-0.624869352
149	0.515038075	-0.857167301	-0.600860619
150	0.5	-0.866025404	-0.577350269
151	0.48480962	-0.874619707	-0.554309051
152	0.469471563	-0.882947593	-0.531709432
153	0.4539905	-0.891006524	-0.509525449
154	0.438371147	-0.898794046	-0.487732589
155	0.422618262	-0.906307787	-0.466307658
156	0.406736643	-0.913545458	-0.445228685
157	0.390731128	-0.920504853	-0.424474816
158	0.374606593	-0.927183855	-0.404026226
159	0.35836795	-0.933580426	-0.383864035
160	0.342020143	-0.939692621	-0.363970234
161	0.325568154	-0.945518576	-0.344327613
162	0.309016994	-0.951056516	-0.324919696
163	0.292371705	-0.956304756	-0.305730681
164	0.275637356	-0.961261696	-0.286745386
165	0.258819045	-0.965925826	-0.267949192
166	0.241921896	-0.970295726	-0.249328003
167	0.224951054	-0.974370065	-0.230868191
168	0.207911691	-0.978147601	-0.212556562
169	0.190808995	-0.981627183	-0.194380309
170	0.173648178	-0.984807753	-0.176326981
171	0.156434465	-0.987688341	-0.15838444
172	0.139173101	-0.990268069	-0.140540835
173	0.121869343	-0.992546152	-0.122784561
174	0.104528463	-0.994521895	-0.105104235
175	0.087155743	-0.996194698	-0.087488664
176	0.069756474	-0.99756405	-0.069926812
177	0.052335956	-0.998629535	-0.052407779
178	0.034899497	-0.999390827	-0.034920769
179	0.017452406	-0.999847695	-0.017455065
180	1.22515E-16	-1	-1.22515E-16
181	-0.017452406	-0.999847695	0.017455065
182	-0.034899497	-0.999390827	0.034920769
183	-0.052335956	-0.998629535	0.052407779
184	-0.069756474	-0.99756405	0.069926812
185	-0.087155743	-0.996194698	0.087488664
186	-0.104528463	-0.994521895	0.105104235
187	-0.121869343	-0.992546152	0.122784561
188	-0.139173101	-0.990268069	0.140540835
189	-0.156434465	-0.987688341	0.15838444
190	-0.173648178	-0.984807753	0.176326981
191	-0.190808995	-0.981627183	0.194380309
192	-0.207911691	-0.978147601	0.212556562
193	-0.224951054	-0.974370065	0.230868191
194	-0.241921896	-0.970295726	0.249328003
195	-0.258819045	-0.965925826	0.267949192
196	-0.275637356	-0.961261696	0.286745386
197	-0.292371705	-0.956304756	0.305730681
198	-0.309016994	-0.951056516	0.324919696
199	-0.325568154	-0.945518576	0.344327613
200	-0.342020143	-0.939692621	0.363970234
201	-0.35836795	-0.933580426	0.383864035
202	-0.374606593	-0.927183855	0.404026226
203	-0.390731128	-0.920504853	0.424474816
204	-0.406736643	-0.913545458	0.445228685
205	-0.422618262	-0.906307787	0.466307658
206	-0.438371147	-0.898794046	0.487732589
207	-0.4539905	-0.891006524	0.509525449
208	-0.469471563	-0.882947593	0.531709432
209	-0.48480962	-0.874619707	0.554309051
210	-0.5	-0.866025404	0.577350269
211	-0.515038075	-0.857167301	0.600860619
212	-0.529919264	-0.848048096	0.624869352
213	-0.544639035	-0.838670568	0.649407593
214	-0.559192903	-0.829037573	0.674508517
215	-0.573576436	-0.819152044	0.700207538
216	-0.587785252	-0.809016994	0.726542528
217	-0.601815023	-0.79863551	0.75355405
218	-0.615661475	-0.788010754	0.781285627
219	-0.629320391	-0.777145961	0.809784033
220	-0.64278761	-0.766044443	0.839099631
221	-0.656059029	-0.75470958	0.869286738
222	-0.669130606	-0.743144825	0.900404044
223	-0.68199836	-0.731353702	0.932515086
224	-0.69465837	-0.7193398	0.965688775
225	-0.707106781	-0.707106781	1
226	-0.7193398	-0.69465837	1.035530314
227	-0.731353702	-0.68199836	1.07236871
228	-0.743144825	-0.669130606	1.110612515
229	-0.75470958	-0.656059029	1.150368407
230	-0.766044443	-0.64278761	1.191753593
231	-0.777145961	-0.629320391	1.234897157
232	-0.788010754	-0.615661475	1.279941632
233	-0.79863551	-0.601815023	1.327044822
234	-0.809016994	-0.587785252	1.37638192
235	-0.819152044	-0.573576436	1.428148007
236	-0.829037573	-0.559192903	1.482560969
237	-0.838670568	-0.544639035	1.539864964
238	-0.848048096	-0.529919264	1.600334529
239	-0.857167301	-0.515038075	1.664279482
240	-0.866025404	-0.5	1.732050808
241	-0.874619707	-0.48480962	1.804047755
242	-0.882947593	-0.469471563	1.880726465
243	-0.891006524	-0.4539905	1.962610506
244	-0.898794046	-0.438371147	2.050303842
245	-0.906307787	-0.422618262	2.144506921
246	-0.913545458	-0.406736643	2.246036774
247	-0.920504853	-0.390731128	2.355852366
248	-0.927183855	-0.374606593	2.475086853
249	-0.933580426	-0.35836795	2.605089065
250	-0.939692621	-0.342020143	2.747477419
251	-0.945518576	-0.325568154	2.904210878
252	-0.951056516	-0.309016994	3.077683537
253	-0.956304756	-0.292371705	3.270852618
254	-0.961261696	-0.275637356	3.487414444
255	-0.965925826	-0.258819045	3.732050808
256	-0.970295726	-0.241921896	4.010780934
257	-0.974370065	-0.224951054	4.331475874
258	-0.978147601	-0.207911691	4.704630109
259	-0.981627183	-0.190808995	5.144554016
260	-0.984807753	-0.173648178	5.67128182
261	-0.987688341	-0.156434465	6.313751515
262	-0.990268069	-0.139173101	7.115369722
263	-0.992546152	-0.121869343	8.144346428
264	-0.994521895	-0.104528463	9.514364454
265	-0.996194698	-0.087155743	11.4300523
266	-0.99756405	-0.069756474	14.30066626
267	-0.998629535	-0.052335956	19.08113669
268	-0.999390827	-0.034899497	28.63625328
269	-0.999847695	-0.017452406	57.28996163
270	-1	-1.83772E-16	5.44152E+15
271	-0.999847695	0.017452406	-57.28996163
272	-0.999390827	0.034899497	-28.63625328
273	-0.998629535	0.052335956	-19.08113669
274	-0.99756405	0.069756474	-14.30066626
275	-0.996194698	0.087155743	-11.4300523
276	-0.994521895	0.104528463	-9.514364454
277	-0.992546152	0.121869343	-8.144346428
278	-0.990268069	0.139173101	-7.115369722
279	-0.987688341	0.156434465	-6.313751515
280	-0.984807753	0.173648178	-5.67128182
281	-0.981627183	0.190808995	-5.144554016
282	-0.978147601	0.207911691	-4.704630109
283	-0.974370065	0.224951054	-4.331475874
284	-0.970295726	0.241921896	-4.010780934
285	-0.965925826	0.258819045	-3.732050808
286	-0.961261696	0.275637356	-3.487414444
287	-0.956304756	0.292371705	-3.270852618
288	-0.951056516	0.309016994	-3.077683537
289	-0.945518576	0.325568154	-2.904210878
290	-0.939692621	0.342020143	-2.747477419
291	-0.933580426	0.35836795	-2.605089065
292	-0.927183855	0.374606593	-2.475086853
293	-0.920504853	0.390731128	-2.355852366
294	-0.913545458	0.406736643	-2.246036774
295	-0.906307787	0.422618262	-2.144506921
296	-0.898794046	0.438371147	-2.050303842
297	-0.891006524	0.4539905	-1.962610506
298	-0.882947593	0.469471563	-1.880726465
299	-0.874619707	0.48480962	-1.804047755
300	-0.866025404	0.5	-1.732050808
301	-0.857167301	0.515038075	-1.664279482
302	-0.848048096	0.529919264	-1.600334529
303	-0.838670568	0.544639035	-1.539864964
304	-0.829037573	0.559192903	-1.482560969
305	-0.819152044	0.573576436	-1.428148007
306	-0.809016994	0.587785252	-1.37638192
307	-0.79863551	0.601815023	-1.327044822
308	-0.788010754	0.615661475	-1.279941632
309	-0.777145961	0.629320391	-1.234897157
310	-0.766044443	0.64278761	-1.191753593
311	-0.75470958	0.656059029	-1.150368407
312	-0.743144825	0.669130606	-1.110612515
313	-0.731353702	0.68199836	-1.07236871
314	-0.7193398	0.69465837	-1.035530314
315	-0.707106781	0.707106781	-1
316	-0.69465837	0.7193398	-0.965688775
317	-0.68199836	0.731353702	-0.932515086
318	-0.669130606	0.743144825	-0.900404044
319	-0.656059029	0.75470958	-0.869286738
320	-0.64278761	0.766044443	-0.839099631
321	-0.629320391	0.777145961	-0.809784033
322	-0.615661475	0.788010754	-0.781285627
323	-0.601815023	0.79863551	-0.75355405
324	-0.587785252	0.809016994	-0.726542528
325	-0.573576436	0.819152044	-0.700207538
326	-0.559192903	0.829037573	-0.674508517
327	-0.544639035	0.838670568	-0.649407593
328	-0.529919264	0.848048096	-0.624869352
329	-0.515038075	0.857167301	-0.600860619
330	-0.5	0.866025404	-0.577350269
331	-0.48480962	0.874619707	-0.554309051
332	-0.469471563	0.882947593	-0.531709432
333	-0.4539905	0.891006524	-0.509525449
334	-0.438371147	0.898794046	-0.487732589
335	-0.422618262	0.906307787	-0.466307658
336	-0.406736643	0.913545458	-0.445228685
337	-0.390731128	0.920504853	-0.424474816
338	-0.374606593	0.927183855	-0.404026226
339	-0.35836795	0.933580426	-0.383864035
340	-0.342020143	0.939692621	-0.363970234
341	-0.325568154	0.945518576	-0.344327613
342	-0.309016994	0.951056516	-0.324919696
343	-0.292371705	0.956304756	-0.305730681
344	-0.275637356	0.961261696	-0.286745386
345	-0.258819045	0.965925826	-0.267949192
346	-0.241921896	0.970295726	-0.249328003
347	-0.224951054	0.974370065	-0.230868191
348	-0.207911691	0.978147601	-0.212556562
349	-0.190808995	0.981627183	-0.194380309
350	-0.173648178	0.984807753	-0.176326981
351	-0.156434465	0.987688341	-0.15838444
352	-0.139173101	0.990268069	-0.140540835
353	-0.121869343	0.992546152	-0.122784561
354	-0.104528463	0.994521895	-0.105104235
355	-0.087155743	0.996194698	-0.087488664
356	-0.069756474	0.99756405	-0.069926812
357	-0.052335956	0.998629535	-0.052407779
358	-0.034899497	0.999390827	-0.034920769
359	-0.017452406	0.999847695	-0.017455065
360	-2.4503E-16	1	-2.4503E-16
